SeniorCitizen,tenure,MonthlyCharges,TotalCharges,AvgMonthlySpend,TotalServices,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_Yes
0,-0.9592844144580451,0.9816619344907653,-0.6322535938365993,1.0065378661286328,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
0,-1.2039956704904167,0.34632152357533763,-0.9027618448828107,0.5462596071817909,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
0,0.590553540413642,0.4660715486693452,0.6000004973273462,0.42360416860825795,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
0,-0.06200980900601573,0.476050717427179,0.09125616120414833,0.5193448346530478,5,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0.7129091684298279,-1.4881823330731347,-0.5997608388997103,-1.5340655100740836,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,-0.9184992051193165,0.497672249735819,-0.618974137983234,0.7905441429325699,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
0,-1.285566089167874,-0.526855742735132,-0.9888136011684887,-0.5251444073415297,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,0.7944795871072851,-1.4798663591082732,-0.5292826637311018,-1.4559550696595298,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1,1.2839020991720282,1.5538009432732443,2.1214687839954,1.5261121762918408,5,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0
0,1.2023316804945712,-1.3518003600494042,-0.38195129222839896,-1.3895363899782136,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0
0,-1.2039956704904167,-0.012928551706684058,-0.9321884131691718,-0.19084867305240685,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
1,0.9576204244621995,1.5172106578278532,1.6981585550484213,1.483412507161493,5,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0
0,0.5497683310749134,-0.3073140300627853,0.17580791250971212,-0.21339531671969708,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
0,-1.0000696237967737,-0.3405779259222318,-0.7976953195845065,-0.15279145206205422,2,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,-0.10279501834474433,0.3280263808526422,-0.07899440403883119,0.18190488455328319,4,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
0,0.5089831217361848,-1.2969149318813176,-0.47371630277657145,-1.254995799459479,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0
0,-1.285566089167874,0.48104030180609575,-0.975445909728058,0.4794004603239664,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,-0.877713995780588,-0.4769598989459623,-0.7610334331587703,-0.4473848586293489,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0,-1.0408548331355023,0.34133193919642096,-0.7912320628319548,0.20209682052285938,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0.38662749371999894,1.2943425555695618,0.8987441362345338,1.2646599561228318,5,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
0,0.6721239590910992,-1.4881823330731347,-0.5810328355450473,-1.4927470309344615,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0
0,-0.9592844144580451,1.1446550242020528,-0.6051211508139425,1.2330853885394433,3,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
0,0.1011310283488987,-0.0910987069763833,-0.033045722074445935,-0.05275730172645872,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
0,0.6313387497523706,-1.4715503851434115,-0.5441283012548808,-1.4212503694628271,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,0.5497683310749134,-1.4948351122450239,-0.6014373150539558,-1.4831305158943904,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
0,-0.14358022768347295,-1.0357933493846627,-0.5651945476667809,-0.997521713952868,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,-0.10279501834474433,0.5708528206266013,0.12346215048307425,0.6890398017938726,2,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-1.285566089167874,0.32636318605966996,-0.977497387127332,0.3252376340980737,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1.3654725178494855,0.635717417552522,1.5105476380502945,0.7190837204532752,5,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0
0,1.324687308510757,1.5355058005505486,2.124998207478022,1.4736168011703585,5,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0
0,1.6101837738818572,1.1978772575771675,2.2803148996101568,1.2832988180494003,4,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
0,-0.8369287864418593,0.4677347434623174,-0.6013270205701239,0.4107455099348369,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,1.5693985645431285,0.06524160356301494,1.084568282594583,0.06608158819357392,3,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
0,-1.1224252518129596,-1.458244826799633,-0.9602252709592505,-1.3964130252375442,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1
0,0.7944795871072851,-1.4599080215926052,-0.5219811689014275,-1.445403395656062,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
1,-0.30672106503838736,1.1180439075144957,0.09888853948531852,1.183244933609065,4,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1
0,-1.285566089167874,-1.4865191382801624,-1.0015415846026945,-1.4816169958613172,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
0,-1.285566089167874,-1.511467060174747,-1.0018724680541904,-1.5064819678332353,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0
0,0.22348665636508452,1.001620272006433,0.5802577847214292,0.9944107394475918,3,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
1,1.3654725178494855,-0.6432793782431946,0.3251025258246236,-0.6306572833556998,3,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,1.4470429365269428,1.50057870989813,2.347726888128238,1.559832247350817,5,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1
0,-1.1224252518129596,-1.350137165256432,-0.9662473497764744,-1.4869215232153266,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1.6101837738818572,1.3059849191203683,2.2114911416990277,1.2114666767971924,4,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0
0,-0.02122459966728712,-1.15554337447867,-0.6011946671895255,-1.1902306055654004,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0.4274127030587276,0.9799987396977927,0.7195376589044008,0.8720357154154195,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
0,1.6101837738818572,-1.5131302549677197,-0.4090175585607565,-1.5235881476250273,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
0,0.9168352151234709,1.0598320897604643,1.3008337064922473,1.0066282842085308,3,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,0.7944795871072851,-0.2308070695860583,0.3317201948545399,-0.21168636964938614,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
0,0.4274127030587276,0.8901862208772876,0.7340082951831509,0.8973247411729053,3,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
1,0.18270144702635593,0.3862381986066735,0.2549111163139782,0.41864928556014475,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,1.2839020991720282,-0.342241120715204,0.49991928269824554,-0.37787125043285563,4,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0
0,-1.2039956704904167,0.8303112083302836,-0.9008647797609013,0.5937793313947903,3,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0.14191623768762732,-1.1256058682051684,-0.5135326114399011,-1.1140298268764597,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,-0.9184992051193165,1.176255725268527,-0.5407532900496234,1.3783520803487168,3,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
0,0.34584228438127035,-1.4715503851434115,-0.6420036262073425,-1.4759971078871765,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
0,-0.22515064636093016,0.6756340925838579,-0.06121493324512289,0.490635743955722,2,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,0.9576204244621995,1.161286972131776,1.4228414645071372,1.1139604652787416,3,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0
0,-1.081640042474231,-1.4698871903504391,-0.9607105666881111,-1.5283078876752525,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
0,-1.2039956704904167,0.31638401730183613,-0.9091809838418294,0.38546612176338657,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,-1.0408548331355023,-0.47197031456704513,-0.855886689254237,-0.49199111137897183,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,-1.1632104611516882,-1.4648976059715222,-0.9827032867641994,-1.6299779952937625,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
0,0.01956060967144149,0.800373702056782,0.32527899699875473,0.8904008657264614,3,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0
1,-0.22515064636093016,0.4377972371888154,-0.06831789800389967,0.4708665563632342,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
0,1.6101837738818572,-1.3750850871510167,-0.24988467728803618,-1.357499344101492,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0
0,-1.285566089167874,-1.5014878914169132,-1.001740114673592,-1.4965359790444681,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
1,1.5693985645431285,-0.280702913375228,0.7477951056621432,-0.2903630381869667,4,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0
0,-0.7961435771031307,0.7005820144784427,-0.47413542181513274,0.9489021362244944,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
0,-0.30672106503838736,-0.20918553727741815,-0.3475173543760678,-0.1586015671794924,5,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
0,1.4062577271882142,-0.4769598989459623,0.42783080806569074,-0.5381335718044721,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,-1.285566089167874,-0.9792447264236037,-0.9948136210889463,-0.9760292324323133,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
0,-1.2447808798291453,-0.6831960532745303,-0.9746076716509352,-0.8044609258260776,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0.4274127030587276,-1.3035677110532067,-0.4862457561398796,-1.2352031961024004,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0
0,-0.3882914837158446,0.3363423548175038,-0.22581842091590731,0.4123010721910509,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1.2839020991720282,-1.4865191382801624,-0.44673827203127936,-1.4894132006150125,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
0,0.9984056338009281,-1.5064774757958301,-0.49403254669841445,-1.4704786516914403,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
